BBL,borough,zip5,median_household_income,res_unit,eviction_count,hpd_2025_habitability_count,hpd_2025_strict_count,vacate_count,litigation_count,is_aep,lien_amount,water,C,I,dob_violations,winner_score,baseline_score
1019840001,MN,10027,64220.0,1272.0,23.0,1019.0,842.0,0.0,0.0,False,8901436.0,3175986.56,162.0,0.0,252.0,240.5,0.37
1021700112,MN,10040,64022.0,142.0,18.0,863.0,846.0,2.0,2.0,False,193108.0,870275.92,450.0,4.0,91.0,207.5,2.65
2049990068,BX,10466,66328.0,78.0,8.0,858.0,801.0,1.0,4.0,False,12182.0,664822.27,824.0,3.0,111.0,366.2,49.16
3049640040,BK,11210,83261.0,504.0,89.0,772.0,610.0,1.0,14.0,True,1889939.0,0.0,3001.0,4.0,821.0,738.3,12.2
2039377501,BX,10462,63460.0,2121.0,94.0,762.0,671.0,0.0,9.0,False,68222.0,0.0,3188.0,0.0,0.0,534.9,57.59
2039387501,BX,10462,63460.0,2659.0,111.0,683.0,566.0,1.0,15.0,False,107655.0,0.0,6046.0,0.0,0.0,537.2,66.18
3050260257,BK,11225,85201.0,78.0,9.0,613.0,406.0,1.0,7.0,False,88852.0,0.0,650.0,5.0,777.0,456.7,96.49
1018510008,MN,10025,109195.0,418.0,5.0,596.0,563.0,1.0,2.0,False,38926.0,728989.75,619.0,0.0,736.0,470.1,24.84
2028800029,BX,10453,35482.0,766.0,21.0,595.0,463.0,1.0,0.0,False,624793.0,5008.7300000000005,2407.0,2.0,262.0,619.5,51.8
2032180058,BX,10468,46624.0,54.0,8.0,552.0,253.0,0.0,8.0,True,53984.0,64035.03,1036.0,1.0,39.0,483.1,19.2
2032580190,BX,10463,72952.0,116.0,17.0,486.0,452.0,1.0,13.0,False,35489.0,0.0,510.0,2.0,36.0,285.9,121.68
2041780010,BX,10461,65023.0,142.0,16.0,481.0,404.0,0.0,6.0,False,112702.0,0.0,357.0,0.0,85.0,210.8,23.75
4012800038,QN,11372,77133.0,88.0,3.0,459.0,337.0,1.0,0.0,True,15279.0,0.0,524.0,0.0,956.0,371.8,22.61
3050800024,BK,11226,81084.0,110.0,5.0,458.0,411.0,0.0,14.0,False,187263.0,309101.51,433.0,0.0,428.0,322.3,64.96
1022480092,MN,10034,69786.0,259.0,16.0,442.0,328.0,0.0,34.0,True,251438.0,373474.69,2434.0,33.0,798.0,749.5,44.09
2043410075,BX,10467,47806.0,40.0,3.0,432.0,390.0,0.0,5.0,False,49361.0,389723.65,391.0,1.0,182.0,199.3,7.74
2022957501,BX,10454,27500.0,419.0,61.0,429.0,316.0,2.0,5.0,False,54579.0,0.0,1641.0,6.0,0.0,404.1,4.21
2025060024,BX,10452,37854.0,59.0,2.0,429.0,417.0,0.0,7.0,False,673510.0,2396428.4,1459.0,11.0,152.0,487.8,64.45
1018280004,MN,10026,74140.0,13.0,0.0,424.0,424.0,0.0,1.0,False,160971.0,8569.6,502.0,0.0,54.0,249.1,74.88
3065750007,BK,11204,67588.0,83.0,4.0,423.0,417.0,1.0,0.0,True,16134.0,68060.45999999999,837.0,4.0,84.0,372.4,71.81
1017750006,MN,10035,40556.0,255.0,20.0,421.0,316.0,0.0,11.0,False,486293.0,932918.1499999999,1588.0,0.0,45.0,489.0,21.01
1020320055,MN,10039,48792.0,100.0,11.0,416.0,373.0,0.0,8.0,False,432367.0,134.53,1312.0,0.0,237.0,597.6,143.43
3018710018,BK,11213,62040.0,154.0,10.0,415.0,394.0,0.0,2.0,False,469294.0,2099616.56,1113.0,0.0,253.0,648.1,31.82
3053580086,BK,11218,95916.0,49.0,2.0,410.0,403.0,0.0,2.0,False,5838.0,52985.26,431.0,0.0,74.0,192.2,90.52
3046320018,BK,11212,40060.0,71.0,1.0,410.0,278.0,1.0,6.0,False,13886.0,636981.18,270.0,0.0,390.0,216.3,25.8
2027427501,BX,10459,39276.0,300.0,59.0,392.0,292.0,0.0,25.0,True,133337.0,0.0,1873.0,0.0,0.0,521.2,27.72
3013890016,BK,11213,62040.0,31.0,9.0,373.0,356.0,0.0,7.0,False,22795.0,0.0,619.0,0.0,179.0,194.2,70.59
3070500001,BK,11224,41449.0,362.0,47.0,370.0,309.0,3.0,1.0,False,1415251.0,1298574.33,917.0,1.0,342.0,520.8,20.92
2024180033,BX,10451,37111.0,167.0,28.0,368.0,329.0,0.0,22.0,False,80305.0,3067522.13,948.0,0.0,55.0,360.2,2.11
2028780169,BX,10453,35482.0,66.0,5.0,361.0,297.0,0.0,2.0,False,177902.0,0.0,342.0,0.0,117.0,215.5,6.96
2032610086,BX,10463,72952.0,75.0,8.0,358.0,326.0,0.0,2.0,False,66554.0,81099.9,474.0,0.0,26.0,190.9,19.05
1005060027,MN,10013,159474.0,175.0,0.0,358.0,356.0,0.0,0.0,False,22302.0,21834.69,624.0,0.0,112.0,269.2,1.89
3050810058,BK,11226,81084.0,48.0,3.0,357.0,223.0,1.0,4.0,True,7740.0,62494.59,530.0,1.0,201.0,284.8,24.09
2028260062,BX,10453,35482.0,170.0,25.0,356.0,273.0,1.0,59.0,False,135663.0,35912.009999999995,1931.0,0.0,271.0,520.5,45.13
2031430130,BX,10457,44911.0,60.0,13.0,350.0,339.0,0.0,8.0,False,43524.0,0.0,966.0,0.0,398.0,447.7,92.7
1017010001,MN,10029,38308.0,1594.0,49.0,347.0,291.0,1.0,13.0,False,5581122.0,13272657.46,3204.0,8.0,1544.0,901.3,144.24
